neighbourhood,latitude,longitude,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,availability_30,availability_365,amenity_count,bedrooms_per_guest,bathrooms_per_guest,beds_per_guest,geo_cluster,log_price
Marina,37.80304,-122.44187,Entire home/apt,3,32,4.88,t,0,243,55,0.3333333333333333,0.3333333333333333,0.6666666666666666,3,4.990432586778736
West of Twin Peaks,37.74412,-122.45273,Entire home/apt,8,172,4.85,f,0,243,69,0.375,0.25,0.625,19,5.877735781779639
Mission,37.75796,-122.40913,Private room,2,163,4.79,f,6,140,45,0.5,0.5,0.5,20,4.61512051684126
Mission,37.76034,-122.42394,Private room,2,510,4.88,t,12,247,45,0.5,1.0,0.5,9,4.990432586778736
Western Addition,37.77099,-122.43355,Entire home/apt,3,422,4.96,t,6,316,17,0.3333333333333333,0.3333333333333333,0.6666666666666666,6,5.0106352940962555
Marina,37.80013,-122.42542,Private room,1,25,4.96,f,30,62,22,2.0,1.0,1.0,10,4.3694478524670215
Outer Mission,37.72979,-122.44791,Private room,1,13,4.77,f,0,58,34,1.0,1.0,1.0,5,3.9318256327243257
Western Addition,37.77094,-122.43078,Private room,1,4,4.75,f,10,60,18,1.0,2.0,1.0,6,4.406719247264253
Western Addition,37.77028,-122.43156,Entire home/apt,4,68,4.62,f,0,21,67,0.5,0.25,1.0,6,5.41610040220442
Chinatown,37.790672,-122.407249,Entire home/apt,2,10,4.4,f,0,140,23,0.5,0.5,0.5,4,4.890349128221754
Mission,37.76121,-122.41922,Private room,1,329,5.0,t,3,325,69,1.0,1.0,1.0,9,4.68213122712422
Castro/Upper Market,37.76728,-122.43866,Private room,2,551,4.83,t,9,65,43,0.5,0.5,0.5,6,4.584967478670572
Mission,37.76076,-122.4241,Entire home/apt,5,38,4.79,f,21,125,45,0.6,0.4,0.6,9,5.978885764901122
Russian Hill,37.80492,-122.41994,Private room,1,281,4.81,t,28,337,21,1.0,1.0,1.0,18,4.532599493153256
Western Addition,37.77128,-122.43393,Entire home/apt,4,11,4.64,f,0,21,66,0.5,0.25,1.0,6,5.493061443340548
Potrero Hill,37.7577,-122.39958,Entire home/apt,5,98,4.8,t,6,251,30,0.4,0.2,0.4,7,5.820082930352362
Mission,37.75007,-122.41837,Private room,2,230,4.88,t,5,244,35,0.5,0.5,1.0,20,4.2626798770413155
Potrero Hill,37.76553,-122.39614,Entire home/apt,2,656,4.97,t,15,328,45,0.5,0.5,0.5,7,5.66988092298052
Mission,37.77025,-122.42193,Entire home/apt,2,46,4.3,f,5,229,24,0.5,0.5,0.5,9,4.7535901911063645
Presidio Heights,37.78421,-122.45896,Entire home/apt,4,247,4.81,t,13,323,55,0.25,0.25,0.5,24,5.521460917862246
Bayview,37.73457,-122.39348,Private room,1,54,4.9,t,13,348,53,1.0,1.0,1.0,14,4.189654742026425
Inner Richmond,37.77815,-122.45789,Entire home/apt,2,293,4.78,t,14,83,33,0.5,0.5,0.5,24,4.890349128221754
North Beach,37.80017,-122.40334,Entire home/apt,2,93,4.7,f,3,338,21,0.5,0.5,0.5,18,5.332718793265369
Potrero Hill,37.76249,-122.40307,Entire home/apt,2,175,4.98,t,5,249,37,0.5,0.5,0.5,7,5.247024072160486
Outer Sunset,37.7516,-122.50727,Entire home/apt,10,125,4.69,t,21,242,47,0.4,0.2,0.6,17,6.643789733147672
Haight Ashbury,37.77082,-122.44825,Private room,1,768,4.52,t,7,327,21,1.0,2.0,1.0,24,3.970291913552122
Outer Sunset,37.75939,-122.50664,Private room,2,296,4.97,t,2,193,36,0.5,0.5,0.5,17,4.700480365792417
Mission,37.761097,-122.424545,Private room,2,472,4.9,t,12,180,51,0.5,0.5,0.5,9,4.442651256490317
